method,label_fraction,seed,n_labeled,linear_accuracy,linear_f1_macro,linear_auroc,linear_auprc,linear_sensitivity,linear_specificity,linear_ece,linear_brier_score
Random Init,0.01,0,1515,0.6228232189973615,0.5503574519263836,0.748450530972459,0.8125333668806003,0.564323918551187,0.829313879175208,0.08096990603408949,0.4476307171483785
Random Init,0.05,0,7579,0.7191292875989446,0.7016198805821444,0.8131743573021226,0.8563520553768029,0.702824434643896,0.796153382370674,0.10327186249282837,0.3919780937961416
Random Init,0.1,0,15159,0.7460949868073878,0.7360741375588195,0.8294263923983052,0.8687761060965781,0.7379187388570893,0.7869287350777764,0.10550719225337025,0.36766577038609355
Random Init,0.25,0,37899,0.7623218997361477,0.7555634910520566,0.8407638923407401,0.8780136742646207,0.7217791123205405,0.8200289400699385,0.07983353412963277,0.3402362846581567
Random Init,0.5,0,75799,0.7743271767810026,0.7696172977803155,0.8509148706878384,0.8863644808614298,0.7443464389603078,0.8153261787049318,0.06534148750427798,0.3220795182984856
Random Init,1.0,0,151599,0.7776517150395779,0.7734639806354602,0.8546776155436264,0.889941933400549,0.7449094491883269,0.821777402628723,0.04288338593238285,0.3120617719732201
Random Init,0.01,1,1515,0.6211873350923482,0.5598016669799214,0.7243168037649828,0.7959933003577693,0.5717772979062998,0.7791902638872154,0.06847441200464331,0.4470473086714624
Random Init,0.05,1,7579,0.7098944591029024,0.6903005446446078,0.8014680525073979,0.8484058448622216,0.6843488874284105,0.794372816001928,0.09193196745539993,0.3956623865359113
Random Init,0.1,1,15159,0.7456992084432718,0.7368291134184315,0.8232106523925988,0.8644678104797326,0.7212937752323726,0.79479455356067,0.10281230598480616,0.36942108199429385
Random Init,0.25,1,37899,0.767335092348285,0.7625176256310939,0.8426695866983237,0.8797190340720193,0.7336869777485682,0.8116640559103506,0.0851084747855084,0.33771789828645365
Random Init,0.5,1,75799,0.7752242744063325,0.7712477313532489,0.850426594863109,0.8859102607833789,0.7477232184771383,0.810880829015544,0.06819194859055733,0.3225392159152468
Random Init,1.0,1,151599,0.7798944591029023,0.7762942506783674,0.8550132630372917,0.8895950518862055,0.7435921509717397,0.8240751897819014,0.043995844070456966,0.3109748502432281
Random Init,0.01,2,1515,0.5960158311345647,0.5021744115088069,0.7400217095065907,0.8099727247930464,0.5961466341646353,0.7965354901014002,0.11179008477188276,0.4490668708864922
Random Init,0.05,2,7579,0.7182849604221636,0.7046227684966098,0.8039833513631902,0.851649303536041,0.6870429401837614,0.7947247706422018,0.10316360989714597,0.3938334668389471
Random Init,0.1,2,15159,0.7408970976253298,0.7313018797253505,0.8231761712442855,0.8653237162332167,0.7055597224826552,0.8090294543698696,0.09721689155892847,0.3688058844946074
Random Init,0.25,2,37899,0.7626121372031662,0.7565450792591877,0.8412090537919605,0.8782373876907236,0.7118413650853178,0.8348623853211009,0.0810455702767494,0.3393921783820368
Random Init,0.5,2,75799,0.7729551451187335,0.7683898840094008,0.8485623980784168,0.8833550468841709,0.7223888993062066,0.8355263157894737,0.061102250318880044,0.3227092565488082
Random Init,1.0,2,151599,0.7806068601583114,0.7765495850051751,0.8557643765624656,0.8890598612480107,0.7477029814363397,0.823394495412844,0.04830890971770197,0.31089570004983214
